bibcode,mespos,nbmes,oidref,qual,upvsini,vsini,vsini_err,vsini_err_prec,vsini_prec
"2014A&A...564A..39S",4,,8623056,,,275.0,,,0
"2014A&A...562A.135S",2,,2585757,,,62.0,,,0
"2014A&A...562A.135S",1,,2585757,,,65.0,,,0
"2014A&A...562A.135S",1,,2540013,,,285.0,,,0
"2014A&A...562A.135S",4,,136497,,,163.0,,,0
"2014A&A...562A.135S",4,,136609,,,48.0,,,0
"2014A&A...562A.135S",4,,136424,,,43.0,,,0
"2014A&A...562A.135S",3,,136424,,,47.0,,,0
"2014A&A...562A.135S",3,,174009,,,50.0,,,0
"2014A&A...562A.135S",4,,258089,,,12.0,,,0
"2014A&A...562A.135S",3,,798247,,,29.0,,,0
"2014A&A...562A.135S",3,,792375,,,180.0,,,0
"2014A&A...562A.135S",3,,909225,,,114.0,,,0
"2014A&A...562A.135S",4,,907947,,,107.0,,,0
"2014A&A...562A.135S",4,,991566,,,115.0,,,0
"2014A&A...562A.135S",3,,991566,,,109.0,,,0
"2014A&A...562A.135S",3,,1730603,,,49.0,,,0
"2014A&A...562A.135S",4,,1810601,,,144.0,,,0
"2014A&A...562A.135S",2,,2206721,,,46.0,,,0
"2014A&A...562A.135S",4,,2586160,,,54.0,,,0
"2014A&A...562A.135S",3,,2586160,,,49.0,,,0
"2014A&A...562A.135S",3,,2540024,,,191.0,,,0
"2014A&A...562A.135S",3,,2873926,,,48.0,,,0
"2014A&A...562A.135S",4,,2953963,,,91.0,,,0
"2014A&A...562A.135S",3,,2953963,,,87.0,,,0
"2014A&A...562A.135S",3,,1549453,,,93.0,,,0
"2014A&A...562A.135S",4,,201081,,,60.0,,,0
"2014A&A...562A.135S",3,,201081,,,66.0,,,0
"2014A&A...562A.135S",4,,8602075,,,56.0,,,0
"2014A&A...564A..39S",3,,8623015,,,40.0,,,0
"2013A&A...560A..29R",2,,8623015,,,40.0,,,0
"2014A&A...562A.135S",1,,688290,,,230.0,,,0
"2018A&A...620A..56B",1,,4042944,,,100.0,,32767,0
"2018A&A...620A..56B",1,,57663,,,195.0,,32767,0
"2018A&A...620A..56B",1,,8424101,,,185.0,,32767,0
"2014A&A...562A.135S",1,,2617798,,,284.0,,,0
"2018A&A...620A..56B",1,,54357,,,325.0,,32767,0
"2018A&A...620A..56B",1,,6814491,,,60.0,,32767,0
"2018A&A...620A..56B",1,,4042984,,,95.0,,32767,0
"2018A&A...620A..56B",1,,56321,,,45.0,,32767,0
"2018A&A...620A..56B",1,,54881,,,120.0,,32767,0
"2018A&A...620A..56B",1,,52833,,,130.0,,32767,0
"2018A&A...620A..56B",1,,11671816,,,85.0,,32767,0
"2018A&A...620A..56B",1,,54337,,,155.0,,32767,0
"2018A&A...620A..56B",1,,4042678,,,175.0,,32767,0
"2018A&A...620A..56B",1,,4042872,,,110.0,,32767,0
"2014A&A...562A.135S",1,,173626,,,430.0,,,0
"2018A&A...620A..56B",1,,56225,,,115.0,,32767,0
"2018A&A...620A..56B",1,,54302,,,235.0,,32767,0
"2018A&A...620A..56B",1,,8424096,,,55.0,,32767,0
"2018A&A...620A..56B",1,,11671814,,,215.0,,32767,0
"2018A&A...620A..56B",1,,4042915,,,130.0,,32767,0
"2014A&A...562A.135S",2,,942061,,,301.0,,,0
"2014A&A...562A.135S",1,,942061,,,286.0,,,0
"2014A&A...562A.135S",1,,159779,,,203.0,,,0
"2018A&A...620A..56B",1,,53862,,,120.0,,32767,0
"2014A&A...562A.135S",2,,2579741,,,319.0,,,0
"2014A&A...562A.135S",1,,2579741,,,303.0,,,0
"2018A&A...620A..56B",1,,8424093,,,80.0,,32767,0
"2014A&A...562A.135S",4,,135850,,,127.0,,,0
"2014A&A...562A.135S",5,,792716,,,43.0,,,0
"2014A&A...562A.135S",4,,792716,,,39.0,,,0
"2014A&A...562A.135S",1,,269852,,,234.0,,,0
"2014A&A...562A.135S",1,,136456,,,315.0,,,0
"2014A&A...562A.135S",1,,942978,,,263.0,,,0
"2014A&A...562A.135S",2,,90444,,,292.0,,,0
